,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
120,121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
121,122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
129,130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
132,133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
133,134,15642004,Alekseeva,686,France,Male,25,1,0.0,2,0,1,16459.37,0
134,135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
137,138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
140,141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
141,142,15724944,Tien,663,France,Male,34,7,0.0,2,1,1,180427.24,0
147,148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
148,149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
149,150,15794413,Harris,416,France,Male,32,0,0.0,2,0,1,878.87,0
152,153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
153,154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
161,162,15641122,Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0
165,166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
169,170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
171,172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
173,174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
174,175,15625524,Rowe,512,France,Male,40,5,0.0,2,1,1,146457.83,0
177,178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
181,182,15789669,Hsia,510,France,Male,65,2,0.0,2,1,1,48071.61,0
183,184,15810845,T'ang,636,France,Male,42,2,0.0,2,1,1,55470.78,0
185,186,15654506,Chang,514,France,Male,32,8,0.0,2,1,0,95857.18,0
188,189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0
192,193,15756850,Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0
193,194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
194,195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
195,196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
197,198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
198,199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0
199,200,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
200,201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
201,202,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
204,205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
205,206,15773039,Ku,550,France,Male,37,3,0.0,1,1,1,179670.31,0
207,208,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
209,210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0
210,211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0
211,212,15624592,Tan,603,France,Male,31,8,0.0,2,1,1,169915.02,0
214,215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0
216,217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
221,222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0
222,223,15727829,McIntyre,567,France,Male,42,2,0.0,2,1,1,167984.61,0
225,226,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0
230,231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0
231,232,15627000,Freeman,610,France,Male,40,0,0.0,2,1,0,62232.6,0
233,234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
239,240,15795149,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0
240,241,15812009,Grant,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0
242,243,15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0
244,245,15576269,Madison,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0
246,247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0
248,249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
253,254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
254,255,15665834,Cheatham,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0
255,256,15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
256,257,15636684,Kirkland,727,France,Male,34,10,0.0,2,1,1,198637.34,0
259,260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
260,261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
264,265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
266,267,15653857,Wallis,498,France,Male,34,2,0.0,2,1,1,148528.24,0
267,268,15777076,Clark,651,France,Male,36,7,0.0,2,1,0,13898.31,0
270,271,15787071,Dulhunty,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0
273,274,15725166,Newton,707,France,Male,30,8,0.0,2,1,0,33159.37,0
274,275,15800116,Bowman,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
278,279,15683562,Allen,646,France,Male,35,6,84026.86,1,0,1,164255.69,0
280,281,15668893,Wilsmore,782,France,Male,39,8,0.0,2,1,1,33949.67,0
281,282,15669169,Hargreaves,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0
283,284,15699389,Ch'ien,807,France,Male,42,7,118274.71,1,1,1,25885.72,0
285,286,15626144,Chu,675,France,Male,40,7,113208.86,2,1,0,34577.36,0
286,287,15573112,Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
289,290,15697307,Nnachetam,588,Spain,Male,34,10,0.0,2,1,0,79078.91,0
290,291,15652266,Chidiebele,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
292,293,15655774,Booth,583,France,Male,27,7,0.0,2,1,0,51285.49,0
294,295,15785819,Shao,681,France,Male,38,3,0.0,2,1,1,112491.96,0
295,296,15723654,Tsao,773,France,Male,25,2,135903.33,1,1,0,73656.38,0
298,299,15650068,Johnson,511,France,Male,58,0,149117.31,1,1,1,162599.51,0
299,300,15811490,French,627,France,Male,33,5,0.0,2,1,1,103737.82,0
302,303,15695699,Calabrese,687,France,Male,35,8,0.0,2,1,0,10334.05,0
304,305,15812191,Brennan,553,France,Male,33,4,118082.89,1,0,0,94440.45,0
305,306,15636673,Onwuatuegwu,667,France,Male,31,1,119266.69,1,1,1,28257.63,0
307,308,15660211,Shih,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0
309,310,15746726,Doyle,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0
311,312,15702919,Collins,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
312,313,15674398,Russo,642,France,Male,38,3,0.0,2,0,0,171463.83,0
314,315,15631868,Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
315,316,15581539,Atkinson,474,Spain,Male,37,3,0.0,2,0,0,57175.32,0
317,318,15666252,Ritchie,706,Spain,Male,42,9,0.0,2,1,1,28714.34,0
319,320,15626114,Pearson,429,France,Male,24,4,95741.75,1,1,0,46170.75,0
324,325,15682757,Pardey,734,France,Male,30,3,0.0,2,1,0,107640.25,0
325,326,15736601,Tai,716,France,Male,35,4,144428.87,1,1,0,134132.65,0
326,327,15601848,Scott,594,France,Male,35,2,0.0,2,1,0,103480.69,0
328,329,15669064,Mazzanti,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
329,330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
330,331,15598493,Beach,656,France,Male,50,7,0.0,2,0,1,72143.44,0
332,333,15702669,Faulkner,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
337,338,15648064,Kennedy,649,France,Male,33,2,0.0,2,1,0,2010.98,0
341,342,15786170,Tien,659,France,Male,31,4,118342.26,1,0,0,161574.19,0
343,344,15684484,White,543,France,Male,22,8,0.0,2,0,0,127587.22,0
347,348,15747358,Russell,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
349,350,15576256,Yusupova,582,France,Male,39,5,0.0,2,1,1,129892.93,0
350,351,15659420,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0
351,352,15593365,Shih,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0
353,354,15812007,Power,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0
355,356,15739438,Reed,539,France,Male,30,0,0.0,2,1,0,160979.66,0
358,359,15633950,Yen,737,France,Male,41,1,101960.74,1,1,1,123547.28,0
359,360,15592386,Campbell,520,France,Male,58,3,0.0,2,0,1,32790.02,0
360,361,15803716,West,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0
364,365,15676715,Madukaego,640,France,Male,68,9,0.0,2,1,1,199493.38,0
368,369,15684042,Blair,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,0
370,371,15611579,Sutherland,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
372,373,15694506,Briggs,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,0
373,374,15688074,Gregory,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0
374,375,15759537,Bianchi,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,0
377,378,15667871,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
381,382,15591509,Milano,690,France,Male,36,7,101583.11,2,1,0,123775.15,0
383,384,15622993,Boyd,709,Germany,Male,28,8,124695.72,2,1,0,145251.35,0
384,385,15689294,Onyemaechi,705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0
386,387,15721181,Oliver,611,Spain,Male,46,6,0.0,2,1,0,45886.33,0
387,388,15776433,Greco,730,Spain,Male,62,2,0.0,2,1,1,186489.95,0
391,392,15785611,Onyeoruru,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
396,397,15584766,Knight,557,France,Male,33,3,54503.55,1,1,1,371.05,0
397,398,15612187,Morin,547,Germany,Male,32,8,155726.85,1,1,0,67789.99,0
400,401,15690452,Tung,605,France,Male,52,1,63349.75,1,1,0,108887.44,0
402,403,15781589,Carpenter,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0
403,404,15732674,Fennell,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0
404,405,15642291,Fontaine,685,France,Male,23,8,0.0,2,1,1,112239.03,0
405,406,15692761,Pratt,718,France,Male,36,9,0.0,1,1,0,45909.87,0
408,409,15701376,K'ung,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0
410,411,15566594,McKenzie,709,Spain,Male,23,10,0.0,2,0,0,129590.18,0
411,412,15760431,Pino,850,France,Male,38,1,0.0,2,1,1,80006.65,0
414,415,15810432,Moseley,795,Spain,Male,35,8,0.0,2,1,0,167155.36,0
415,416,15809616,Hsiung,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0
424,425,15566111,Estes,596,France,Male,39,9,0.0,1,1,0,48963.59,0
425,426,15784597,Lattimore,648,France,Male,26,9,162923.85,1,1,0,98368.24,0
426,427,15652883,Chung,492,Germany,Male,39,10,124576.65,2,1,0,148584.61,0
427,428,15806964,Utz,702,France,Male,45,0,80793.58,1,1,1,27474.81,0
431,432,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
434,435,15799384,Collier,683,France,Male,33,8,0.0,1,0,0,73564.44,0
437,438,15624623,Hs?,516,France,Male,35,10,104088.59,2,0,0,119666.0,0
443,444,15732628,Ugoji,745,France,Male,46,2,122220.19,1,1,1,118024.1,0
446,447,15730460,Oleary,722,France,Male,37,2,0.0,1,0,0,120906.83,0
447,448,15644572,Turnbull,501,France,Male,40,4,125832.2,1,1,1,100433.83,0
451,452,15785798,Uchechukwu,850,France,Male,40,9,0.0,2,0,1,119232.33,0
452,453,15710825,Ch'en,592,Spain,Male,31,7,110071.1,1,0,0,43921.36,0
455,456,15733797,Sal,506,France,Male,36,5,0.0,2,1,0,164253.35,0
456,457,15747960,Eluemuno,733,France,Male,33,3,0.0,1,1,1,7666.73,0
457,458,15634632,Titus,711,France,Male,38,3,0.0,2,1,0,68487.51,0
459,460,15662976,Lettiere,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0
460,461,15732778,Templeman,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0
461,462,15718443,Chibuzo,539,France,Male,39,3,0.0,2,1,0,36692.17,0
464,465,15613786,Ogbonnaya,818,Spain,Male,26,4,0.0,2,1,1,167036.94,0
465,466,15726032,Enyinnaya,608,France,Male,33,9,89968.69,1,1,0,68777.26,0
468,469,15633283,Padovano,536,France,Male,35,8,0.0,2,1,0,64833.28,0
469,470,15749167,Fisk,753,France,Male,35,3,0.0,2,1,1,184843.77,0
470,471,15759298,Shih,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0
472,473,15635367,Muir,774,France,Male,26,2,93844.69,1,1,0,28415.36,0
473,474,15681705,Fanucci,785,France,Male,28,8,0.0,2,1,0,77231.27,0
478,479,15677538,Nwokike,569,France,Male,38,7,0.0,1,1,1,108469.2,0
479,480,15797736,Smith,658,France,Male,29,4,80262.6,1,1,1,20612.82,0
480,481,15695585,Atkins,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0
482,483,15750658,Obiuto,798,France,Male,37,8,0.0,3,0,0,110783.28,0
483,484,15578186,Pirozzi,486,Germany,Male,37,9,115217.99,2,1,0,144995.33,0
486,487,15758639,Moran,641,France,Male,37,7,0.0,2,1,0,75248.3,0
488,489,15731744,Carslaw,692,France,Male,30,2,0.0,2,0,1,130486.57,0
490,491,15714689,Houghton,591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0
495,496,15804256,Hale,765,Germany,Male,36,8,92310.54,2,1,1,72924.56,0
497,498,15733616,Sopuluchukwu,806,France,Male,40,5,80613.93,1,1,1,142838.64,0
498,499,15591995,Barry,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0
500,501,15727688,Chizuoke,555,Spain,Male,32,4,0.0,2,1,1,54405.79,0
501,502,15715941,Lueck,692,France,Male,54,5,0.0,2,1,1,88721.84,0
503,504,15730059,Udobata,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0
505,506,15576623,Outlaw,584,France,Male,31,5,0.0,2,1,0,31474.27,0
506,507,15805565,Obiuto,691,Germany,Male,30,7,116927.89,1,1,0,21198.39,0
508,509,15773890,Okechukwu,733,France,Male,22,5,0.0,2,1,1,117202.19,0
512,513,15782236,Gibbs,735,Spain,Male,34,5,0.0,2,0,0,71095.41,0
513,514,15593601,Isayev,734,France,Male,34,6,133598.4,1,1,1,13107.24,0
515,516,15746902,Belstead,793,Spain,Male,38,9,0.0,2,1,0,88225.02,0
517,518,15781307,Schneider,779,Germany,Male,37,7,120092.52,2,1,0,135925.72,0
519,520,15745417,Knipe,707,France,Male,58,6,89685.92,1,0,1,126471.13,0
521,522,15653547,Madukwe,850,France,Male,56,7,131317.48,1,1,1,119175.45,0
522,523,15595766,Watts,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0
523,524,15742358,Humphreys,696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0
524,525,15763274,Wu,661,France,Male,48,3,120320.54,1,0,0,96463.25,0
526,527,15600258,Chesnokova,701,France,Male,43,2,0.0,2,1,1,165303.79,0
527,528,15573318,Kung,610,France,Male,26,8,0.0,2,1,0,166031.08,0
529,530,15694272,Nkemakolam,673,France,Male,30,1,64097.75,1,1,1,77783.35,0
532,533,15663478,Baldwin,729,France,Male,32,6,93694.42,1,1,1,79919.13,0
533,534,15592300,Mai,543,Spain,Male,35,10,59408.63,1,1,0,76773.53,0
536,537,15592846,Fiorentini,639,Germany,Male,35,10,128173.9,2,1,0,59093.39,0
537,538,15739803,Lucciano,686,Spain,Male,34,9,0.0,2,1,0,127569.8,0
540,541,15667896,De Luca,833,France,Male,37,8,151226.18,2,1,1,136129.49,0
541,542,15626578,Milne,622,France,Male,26,9,0.0,2,1,1,153237.59,0
546,547,15708916,Paterson,587,France,Male,38,0,0.0,2,1,0,47414.15,0
548,549,15595440,Kryukova,508,France,Male,49,7,122451.46,2,1,1,75808.1,0
549,550,15600651,Ijendu,749,France,Male,24,1,0.0,3,1,1,47911.03,0
553,554,15709324,Bruce,417,France,Male,34,7,0.0,2,1,0,55003.79,0
554,555,15711309,Sumrall,574,Germany,Male,33,3,129834.67,1,1,0,193131.42,0
556,557,15705515,Lazarev,587,Germany,Male,40,5,138241.9,2,1,0,159418.1,0
558,559,15717046,Wentworth-Shields,741,Spain,Male,53,3,0.0,2,1,1,38913.68,0
561,562,15800440,Power,650,Spain,Male,61,1,152968.73,1,0,1,82970.69,0
562,563,15665678,Tan,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0
565,566,15811773,Hsia,543,France,Male,36,4,0.0,2,1,1,141210.5,0
568,569,15795564,Moretti,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0
569,570,15706647,Jordan,761,France,Male,31,7,0.0,3,1,1,166698.18,0
570,571,15728505,Ts'ao,601,France,Male,44,1,100486.18,2,1,1,62678.53,0
572,573,15622003,Carslaw,745,France,Male,35,9,92566.53,2,1,0,161519.77,0
574,575,15644753,Hung,848,Spain,Male,40,3,110929.96,1,1,1,30876.84,0
577,578,15633922,Gray,755,France,Male,30,4,123217.66,2,0,1,144183.1,0
579,580,15658032,Hopkins,701,France,Male,39,2,0.0,2,1,1,82526.92,0
580,581,15692671,Dobson,701,Spain,Male,36,8,0.0,2,1,0,169161.46,0
587,588,15680998,Nwankwo,725,France,Male,44,5,0.0,1,1,1,117356.14,0
588,589,15614782,Hao,526,France,Male,36,1,0.0,1,1,0,160696.72,0
591,592,15604044,Mitchell,700,France,Male,38,8,134811.3,1,1,0,1299.75,0
593,594,15775153,Buchi,630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0
596,597,15697183,Uchenna,685,Spain,Male,43,9,0.0,2,1,0,107811.28,0
597,598,15567446,Coffman,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
604,605,15609286,Chadwick,702,France,Male,37,10,150525.8,1,1,1,94728.49,0
605,606,15814035,Lawrence,601,France,Male,29,9,0.0,1,1,1,80393.27,0
606,607,15661249,Bellucci,699,France,Male,53,4,0.0,2,0,1,111307.98,0
607,608,15629117,Harper,584,France,Male,28,10,0.0,2,1,0,19834.32,0
608,609,15607170,Boyle,699,France,Male,35,5,0.0,2,1,1,78397.24,0
610,611,15686611,Moss,495,France,Male,30,10,129755.99,1,0,0,172749.65,0
613,614,15805062,Lynton,667,Spain,Male,38,1,87202.38,1,1,1,77866.91,0
614,615,15660271,Duncan,688,Germany,Male,26,8,146133.39,1,1,1,175296.76,0
616,617,15719352,Davidson,754,Spain,Male,39,6,170184.99,2,1,0,89593.26,0
618,619,15594594,Loggia,546,Spain,Male,42,7,139070.51,1,1,1,86945.0,0
620,621,15682585,Guerra,593,France,Male,35,9,114193.24,1,1,0,71154.1,0
623,624,15773456,Lazareva,678,Germany,Male,36,3,145747.67,2,0,1,89566.74,0
625,626,15604119,Alderete,850,Spain,Male,35,7,110349.82,1,0,0,126355.8,0
626,627,15626900,Kung,427,France,Male,29,1,141325.56,1,1,1,93839.3,0
627,628,15605447,Palermo,752,France,Male,49,2,78653.84,1,1,0,7698.6,0
628,629,15589030,Ts'ai,649,France,Male,47,1,0.0,2,1,1,145593.85,0
633,634,15724282,Tsao,540,Germany,Male,44,3,164113.04,2,1,1,12120.79,0
637,638,15583725,Mairinger,682,France,Male,48,1,138778.15,1,0,1,168840.23,0
647,648,15805112,Pokrovsky,578,France,Male,38,7,82259.29,1,1,0,8996.97,0
649,650,15703119,Liang,652,France,Male,38,6,0.0,2,1,1,145700.22,0
651,652,15813850,Christian,720,France,Male,52,7,0.0,1,1,1,14781.12,0
652,653,15711889,Mao,668,France,Male,42,3,150461.07,1,1,0,108139.23,0
654,655,15751710,Ginikanwa,729,Spain,Male,31,8,164870.81,2,1,1,9567.39,0
655,656,15692926,Toscani,498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0
656,657,15813741,Nnachetam,549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0
658,659,15568595,Fleming,544,France,Male,64,9,113829.45,1,1,1,124341.49,0
661,662,15699637,Anenechi,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0
662,663,15667215,Chandler,678,France,Male,31,2,0.0,2,1,1,58803.28,0
663,664,15788659,Howells,695,France,Male,46,4,0.0,2,1,1,137537.22,0
665,666,15645772,Onwumelu,661,France,Male,33,9,0.0,2,1,1,84174.81,0
667,668,15575024,Uwaezuoke,503,France,Male,29,3,0.0,2,1,1,143954.99,0
668,669,15640825,Loyau,695,Spain,Male,46,3,122549.64,1,1,1,56297.85,0
671,672,15674991,Kao,667,France,Male,42,9,0.0,2,0,1,58137.42,0
672,673,15721024,Wickens,642,France,Male,26,0,0.0,1,0,0,47472.68,0
674,675,15642394,He,529,Spain,Male,35,5,0.0,2,1,1,187288.5,0
680,681,15780804,Nucci,482,France,Male,55,5,97318.25,1,0,1,78416.14,0
681,682,15613880,Higinbotham,591,Spain,Male,58,5,128468.69,1,0,1,137254.55,0
684,685,15747867,Trevisani,583,France,Male,24,9,135125.28,1,0,0,89801.9,0
690,691,15589493,Otitodilinna,716,Germany,Male,27,1,122552.34,2,1,0,67611.36,0
691,692,15688251,Mamelu,767,France,Male,43,1,76408.85,2,1,0,77837.63,0
692,693,15665238,Beneventi,745,Germany,Male,36,8,145071.24,1,0,0,6078.46,0
693,694,15740900,Perrodin,589,France,Male,34,6,0.0,2,1,1,177896.92,0
695,696,15748625,Napolitano,664,France,Male,57,6,0.0,2,1,1,15304.08,0
698,699,15669516,Steele,746,Spain,Male,36,2,0.0,2,1,1,16436.56,0
699,700,15736534,Elkins,742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0
701,702,15659098,Toscano,669,France,Male,30,7,95128.86,1,0,0,19799.26,0
703,704,15566292,Okwuadigbo,574,Spain,Male,36,1,0.0,2,0,1,71709.12,0
704,705,15808621,Mordvinova,659,Germany,Male,36,2,76190.48,2,1,1,149066.14,0
706,707,15776231,Kent,626,Germany,Male,35,4,88109.81,1,1,1,32825.5,0
707,708,15773809,Campbell,620,France,Male,42,4,0.0,2,1,0,6232.31,0
710,711,15722548,Fisher,540,France,Male,48,0,148116.48,1,0,0,116973.48,0
